Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5952286,2017-12-15 12:52:05,2017-08-22 17:52:37,199688663,20368243626,199688663,102,8259,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952286.sralite.1,SRX3110752,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445837,SAMN07524514,simple,9606,Homo sapiens,GSM2747738,,,,,,,no,,,,,GEO,SRA601690,,public,769F045480B8E4C2C008EDD4B128229C,3E514DB9111C5716328451FA1A0B44DC
SRR5952287,2017-12-15 12:52:05,2017-08-22 17:43:01,240143927,24494680554,240143927,102,10264,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952287.sralite.1,SRX3110752,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445837,SAMN07524514,simple,9606,Homo sapiens,GSM2747738,,,,,,,no,,,,,GEO,SRA601690,,public,AD2D418AB43C198D82B35C32842F1AAE,6B1C4F15CEC01848BC0483C24F18781A
SRR5952288,2017-12-15 12:52:05,2017-08-22 17:33:17,222251658,22669669116,222251658,102,9319,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952288.sralite.1,SRX3110753,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445840,SAMN07524543,simple,9606,Homo sapiens,GSM2747739,,,,,,,no,,,,,GEO,SRA601690,,public,F2B2798DC46CF20F2229EF5D0DBF5276,E1B0226A23A970B852A26C6C7F5C69F3
SRR5952289,2017-12-15 12:52:05,2017-08-22 17:21:38,179573799,18316527498,179573799,102,7170,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952289.sralite.1,SRX3110753,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445840,SAMN07524543,simple,9606,Homo sapiens,GSM2747739,,,,,,,no,,,,,GEO,SRA601690,,public,FD1A51CDB62994D1E7EF5886175B07DC,8B942C3F39F9A896559D8CAE8F987AF5
SRR5952290,2017-12-15 12:52:05,2017-08-22 17:41:45,219668577,22406194854,219668577,102,9161,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952290.sralite.1,SRX3110754,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445838,SAMN07524542,simple,9606,Homo sapiens,GSM2747740,,,,,,,no,,,,,GEO,SRA601690,,public,4FDA3158BE2BD0A2427F402FDFB9062A,5989E9A521549F3C663A6E547B9593EB
SRR5952291,2017-12-15 12:52:05,2017-08-22 18:36:51,196427806,20035636212,196427806,102,8216,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952291.sralite.1,SRX3110754,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445838,SAMN07524542,simple,9606,Homo sapiens,GSM2747740,,,,,,,no,,,,,GEO,SRA601690,,public,409F96F217B91260938F20778B398E1C,E64657BDC3F4C31647547C5D96C6EAC5
SRR5952292,2017-12-15 12:52:05,2017-08-22 18:52:32,241798471,24179847100,241798471,100,8953,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952292.sralite.1,SRX3110755,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445839,SAMN07524541,simple,9606,Homo sapiens,GSM2747741,,,,,,,no,,,,,GEO,SRA601690,,public,6704147E321FE4625D48C8E2CCA1E740,A3B8BD79E8A310ED29EB37A5ED6A5734
SRR5952293,2017-12-15 12:52:05,2017-08-22 17:47:02,236886953,24162469206,236886953,102,10162,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952293.sralite.1,SRX3110755,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445839,SAMN07524541,simple,9606,Homo sapiens,GSM2747741,,,,,,,no,,,,,GEO,SRA601690,,public,CB375C91EC2C6F7F5110AE9BA72EA9D1,1A37AD8BA0B8CEE045F4A7CE44EA4596
SRR5952294,2017-12-15 12:52:05,2017-08-22 20:16:48,282529756,28252975600,282529756,100,11138,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952294.sralite.1,SRX3110756,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445841,SAMN07524540,simple,9606,Homo sapiens,GSM2747742,,,,,,,no,,,,,GEO,SRA601690,,public,71D2B332D7DD87144BB11ABA52C74640,CC7A290C0D9C183F9F4444D36A90A96A
SRR5952295,2017-12-15 12:52:05,2017-08-22 19:53:45,284975933,28497593300,284975933,100,11104,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952295.sralite.1,SRX3110756,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445841,SAMN07524540,simple,9606,Homo sapiens,GSM2747742,,,,,,,no,,,,,GEO,SRA601690,,public,803AC8FF24E7A9A76DAF8D391C1C1FDA,F4AD7C5CF4FA42105B8BABF626D0CD36
SRR5952296,2017-12-15 12:52:05,2017-08-22 20:20:04,283224645,28322464500,283224645,100,11035,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952296.sralite.1,SRX3110757,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445842,SAMN07524539,simple,9606,Homo sapiens,GSM2747743,,,,,,,no,,,,,GEO,SRA601690,,public,4C0A08A551411783F095843619A04E4F,D555AB42D0EB582DD119F53E95D29FF9
SRR5952297,2017-12-15 12:52:05,2017-08-22 20:27:07,280373765,28037376500,280373765,100,10677,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952297.sralite.1,SRX3110757,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445842,SAMN07524539,simple,9606,Homo sapiens,GSM2747743,,,,,,,no,,,,,GEO,SRA601690,,public,3050C274C7670DF32FC8E1B4840F5C17,49A4F776478399C0B5F404BD7278E933
SRR5952298,2017-12-15 12:52:05,2017-08-22 17:11:41,242875279,24287527900,242875279,100,8208,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952298.sralite.1,SRX3110758,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445843,SAMN07524538,simple,9606,Homo sapiens,GSM2747744,,,,,,,no,,,,,GEO,SRA601690,,public,904779E83F7069E5FA6FEC8FD684246F,105E6DB125443D2C613F617DC4437907
SRR5952299,2017-12-15 12:52:05,2017-08-22 19:17:28,226375417,22637541700,226375417,100,8319,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952299.sralite.1,SRX3110758,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445843,SAMN07524538,simple,9606,Homo sapiens,GSM2747744,,,,,,,no,,,,,GEO,SRA601690,,public,D0921D5765D571D9732FC5E8EB80D0D0,7D30AC993F7FF80C1B2692D76A512684
SRR5952300,2017-12-15 12:52:05,2017-08-22 20:19:35,273783932,27378393200,273783932,100,10099,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952300.sralite.1,SRX3110759,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445844,SAMN07524537,simple,9606,Homo sapiens,GSM2747745,,,,,,,no,,,,,GEO,SRA601690,,public,18A99324C352DCC677D6695A014B091F,70541FCEB6A3DA6B403ECEBAA4F1DBEC
SRR5952301,2017-12-15 12:52:05,2017-08-22 18:48:49,213736222,21373622200,213736222,100,7109,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952301.sralite.1,SRX3110760,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445845,SAMN07524536,simple,9606,Homo sapiens,GSM2747746,,,,,,,no,,,,,GEO,SRA601690,,public,8CF38DF97475A71A5C7D8E5F101D95A3,8E9B074E4CB626053E9CD38DCDBF8EB0
SRR5952302,2017-12-15 12:52:05,2017-08-22 18:35:34,202333155,20233315500,202333155,100,6672,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952302.sralite.1,SRX3110761,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445846,SAMN07524535,simple,9606,Homo sapiens,GSM2747747,,,,,,,no,,,,,GEO,SRA601690,,public,F9376CFD1EE30C2E5E73844BE2ACED50,C4A4BC0E574A49043EB05CBDE5D48D92
SRR5952303,2017-12-15 12:52:05,2017-08-22 19:17:46,197117853,19711785300,197117853,100,6495,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/952/SRR5952303.sralite.1,SRX3110762,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115913,PRJNA399157,2,399157,SRS2445847,SAMN07524534,simple,9606,Homo sapiens,GSM2747748,,,,,,,no,,,,,GEO,SRA601690,,public,3A8C420B29F81475BFD03C776A152B4B,5FDE15DB0600AA64B2685B28ED8C5641
