Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10002091,2019-11-28 20:05:11,2019-08-20 14:18:55,17425940,2613891000,17425940,150,1015,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/002/SRR10002091.sralite.1,SRX6741010,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291878,SAMN12601385,simple,10090,Mus musculus,GSM4038942,,,,,,,no,,,,,GEO,SRA876329,,public,CF496708B9AE82D5731A2BF57F5AC879,D123104A1F7F00608304A8239CC9C3EB
SRR10002092,2019-11-28 20:05:11,2019-08-20 14:17:18,13411029,2011654350,13411029,150,803,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/002/SRR10002092.sralite.1,SRX6741010,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291878,SAMN12601385,simple,10090,Mus musculus,GSM4038942,,,,,,,no,,,,,GEO,SRA876329,,public,312F02ABB050513CFCF80C4D3FF4D0FD,DE051FEE578C482D692094AB36A2737F
SRR10002093,2019-11-28 20:05:11,2019-08-20 14:18:51,17872055,2680808250,17872055,150,1042,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/002/SRR10002093.sralite.1,SRX6741011,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291879,SAMN12601383,simple,10090,Mus musculus,GSM4038943,,,,,,,no,,,,,GEO,SRA876329,,public,E3A7E493AB1571BC1C258F58D8412D0C,6E3FFA17FC2FF47EBCD0077F06977FD6
SRR10002094,2019-11-28 20:05:11,2019-08-20 14:17:28,13738955,2060843250,13738955,150,827,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/002/SRR10002094.sralite.1,SRX6741011,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291879,SAMN12601383,simple,10090,Mus musculus,GSM4038943,,,,,,,no,,,,,GEO,SRA876329,,public,BB8DA1FC9C3F15F6F13C5B312A907AA8,D049B104FA52C84FB3B1846ED25F599D
SRR10002095,2019-11-28 20:05:11,2019-08-20 14:18:43,16925267,2538790050,16925267,150,1004,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/002/SRR10002095.sralite.1,SRX6741012,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291880,SAMN12601381,simple,10090,Mus musculus,GSM4038944,,,,,,,no,,,,,GEO,SRA876329,,public,501515235DAFEED08A41CA7DFA724A92,D1FE66A65BC2F3D2A8C209049E16FAD2
SRR10002096,2019-11-28 20:05:11,2019-08-20 14:17:46,12732950,1909942500,12732950,150,778,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/002/SRR10002096.sralite.1,SRX6741012,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291880,SAMN12601381,simple,10090,Mus musculus,GSM4038944,,,,,,,no,,,,,GEO,SRA876329,,public,19DF3C3024F45CCFC189B8B74C62E581,0F1DE0CEE62EA3BD1B69F9C913EB43B6
SRR10002097,2019-11-28 20:05:11,2019-08-20 14:19:30,17349416,2602412400,17349416,150,1012,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/002/SRR10002097.sralite.1,SRX6741013,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291881,SAMN12601380,simple,10090,Mus musculus,GSM4038945,,,,,,,no,,,,,GEO,SRA876329,,public,8729C71805FA9ACBEAF77CC9BE9EE3F3,52EE0F7F0AD74B5BA866D1F322AA00A1
SRR10002098,2019-11-28 20:05:11,2019-08-20 14:15:52,13363294,2004494100,13363294,150,800,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/002/SRR10002098.sralite.1,SRX6741013,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291881,SAMN12601380,simple,10090,Mus musculus,GSM4038945,,,,,,,no,,,,,GEO,SRA876329,,public,CDD286C41CEB9B5113E97E18D833422D,986CEA714359D9D83B5EEA81E5E873FA
SRR10002099,2019-11-28 20:05:11,2019-08-20 14:17:09,13158501,1973775150,13158501,150,767,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/002/SRR10002099.sralite.1,SRX6741014,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291882,SAMN12601379,simple,10090,Mus musculus,GSM4038946,,,,,,,no,,,,,GEO,SRA876329,,public,CA51D9E3A5BEE6FD118179D9F12A2969,0986F8C5E21D9AB65C81138662F41723
SRR10002100,2019-11-28 20:05:11,2019-08-20 14:25:20,27811102,4171665300,27811102,150,1663,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/002/SRR10002100.sralite.1,SRX6741014,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291882,SAMN12601379,simple,10090,Mus musculus,GSM4038946,,,,,,,no,,,,,GEO,SRA876329,,public,810AA0D138C2D0DD45D72352A35EDC6B,C284D370B9856D3677C7ADDFAAC4AB53
SRR10002101,2019-11-28 20:05:12,2019-08-20 14:16:51,13251901,1987785150,13251901,150,772,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/002/SRR10002101.sralite.1,SRX6741015,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291883,SAMN12601378,simple,10090,Mus musculus,GSM4038947,,,,,,,no,,,,,GEO,SRA876329,,public,557907B481BA0A35590C9405964B9431,D9C1BF43B17457541E60869B19A71975
SRR10002102,2019-11-28 20:05:12,2019-08-20 14:22:21,27987178,4198076700,27987178,150,1675,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/002/SRR10002102.sralite.1,SRX6741015,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291883,SAMN12601378,simple,10090,Mus musculus,GSM4038947,,,,,,,no,,,,,GEO,SRA876329,,public,CD1AA4DBBC5D212A40A1D0941BC39108,1017BFE3C694E11734DEFBECCEF3805D
SRR10002103,2019-11-28 20:05:12,2019-08-20 14:17:51,13586844,2038026600,13586844,150,790,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/002/SRR10002103.sralite.1,SRX6741016,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291884,SAMN12601377,simple,10090,Mus musculus,GSM4038948,,,,,,,no,,,,,GEO,SRA876329,,public,FC1BFDD39116478FED12DA683D1CFDEF,5FA245429AACEC7F3312598C5A025F81
SRR10002104,2019-11-28 20:05:12,2019-08-20 14:29:06,28340380,4251057000,28340380,150,1697,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/002/SRR10002104.sralite.1,SRX6741016,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291884,SAMN12601377,simple,10090,Mus musculus,GSM4038948,,,,,,,no,,,,,GEO,SRA876329,,public,8F9E54616192AA808BF9D2C7CACA9726,19BD8DDA87078E1DD4A54EC69C8428BD
SRR10002105,2019-11-28 20:05:12,2019-08-20 14:17:55,14675011,2201251650,14675011,150,856,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/002/SRR10002105.sralite.1,SRX6741017,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192917,PRJNA533460,3,533460,SRS5291885,SAMN12601376,simple,10090,Mus musculus,GSM4038949,,,,,,,no,,,,,GEO,SRA876329,,public,5853D4FE5720BC1F6A2FDDAB8D9F04FF,64A656EEE19560028DF78A7400A0D0D8
